Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764117418,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764117419,10,,Aggregated,0.000000,0.000000,66,82,210,230,230,250,260,260,260,260,260,25,0,66,98.96997000556439,11.292624985799193,257.2397079784423,202.16
1764117420,20,,Aggregated,0.000000,0.000000,80,120,210,220,250,260,260,260,260,260,260,59,0,80,109.68935311874533,5.083290976472199,264.94745805393904,367.40677966101697
1764117421,30,,Aggregated,8.000000,0.000000,90,120,210,230,270,310,310,320,360,360,360,109,0,90,122.90778711177579,5.083290976472199,360.1150830509141,382.91743119266056
1764117422,40,,Aggregated,15.500000,0.000000,130,200,230,250,280,310,360,370,400,400,400,163,1,130.0,146.47849749965147,5.083290976472199,403.24233402498066,384.0674846625767
1764117423,50,,Aggregated,22.000000,0.000000,160,250,280,300,380,440,480,530,770,770,770,216,1,160.0,188.46502165952526,5.083290976472199,769.0410839859396,386.40277777777777
1764117424,60,,Aggregated,29.000000,0.000000,210,280,340,390,480,620,720,720,780,780,780,260,2,200.0,234.916055335914,5.083290976472199,779.0735419839621,392.0615384615385
1764117425,70,,Aggregated,34.200000,0.200000,250,350,420,490,730,820,880,910,980,980,980,312,3,250.0,307.2024068201128,5.083290976472199,977.1877500461414,390.87820512820514
1764117426,80,,Aggregated,36.166667,0.166667,290,410,620,720,820,880,950,1000,1100,1100,1100,365,4,290.0,367.5397792582285,5.083290976472199,1102.5473329937086,389.43835616438355
1764117427,90,,Aggregated,37.428571,0.285714,320,470,720,760,870,990,1300,1300,1700,1700,1700,406,4,310.0,419.9771406312514,5.083290976472199,1676.5991660067812,414.61330049261085
1764117428,100,,Aggregated,39.750000,0.375000,380,670,760,820,980,1200,1500,1800,2200,2200,2200,474,8,380.0,487.5615195465522,5.083290976472199,2202.312874956988,403.337552742616
1764117429,100,,Aggregated,40.555556,0.444444,390,720,810,860,1000,1300,1500,1800,2200,2200,2200,500,8,390.0,523.8000122839585,5.083290976472199,2202.312874956988,431.162
1764117430,100,,Aggregated,41.100000,0.400000,430,760,870,980,1300,1500,1700,1900,2200,2200,2200,544,10,430.0,589.9957819708695,5.083290976472199,2202.312874956988,430.91911764705884
1764117431,100,,Aggregated,46.800000,0.800000,590,830,990,1200,1500,1700,1900,2200,2700,2700,2700,598,11,580.0,676.4751084594299,5.083290976472199,2672.324916929938,501.67224080267556
1764117432,100,,Aggregated,47.600000,0.800000,620,840,1000,1200,1500,1800,2300,2600,3300,3300,3300,659,16,620.0,712.409367199778,2.311333082616329,3268.2128329761326,518.3125948406677
1764117433,100,,Aggregated,47.800000,1.000000,670,880,1100,1200,1500,1800,2300,2600,3300,3300,3300,692,18,670.0,727.4290188229131,2.311333082616329,3268.2128329761326,544.2341040462428
1764117434,100,,Aggregated,51.300000,1.500000,690,950,1100,1300,1500,1900,2300,2600,3300,3300,3300,734,19,690.0,760.2222393627205,2.311333082616329,3268.2128329761326,562.6621253405995
1764117435,100,,Aggregated,48.900000,1.500000,720,980,1200,1300,1600,1900,2300,2600,3500,3500,3500,754,20,710.0,785.7743402194499,2.311333082616329,3451.0178749915212,600.7002652519894
1764117436,100,,Aggregated,47.700000,1.700000,740,1000,1200,1400,1700,2000,2500,2800,3500,3500,3500,845,29,740.0,835.3132706428961,2.311333082616329,3451.0178749915212,571.6911242603551
1764117437,100,,Aggregated,47.500000,1.700000,750,990,1200,1300,1700,2000,2500,2800,3500,3500,3500,877,29,750.0,834.5954754245664,2.311333082616329,3451.0178749915212,569.4880273660206
1764117438,100,,Aggregated,45.600000,1.700000,770,1000,1300,1400,1700,2000,2500,2800,3500,3500,3500,923,31,770.0,854.9858403630768,2.311333082616329,3451.0178749915212,581.1148429035753
1764117439,100,,Aggregated,48.400000,2.500000,800,1100,1300,1400,1700,2100,2500,2900,3500,3500,3500,968,33,800.0,884.4664344774061,2.311333082616329,3451.0178749915212,583.3378099173553
1764117440,100,,Aggregated,46.600000,2.500000,830,1100,1300,1400,1700,2100,2600,3000,3500,3500,3500,1001,36,830.0,910.5477416236605,2.311333082616329,3466.707499930635,579.7892107892108
1764117441,100,,Aggregated,45.000000,2.300000,840,1100,1300,1500,1800,2100,2600,3000,3500,3500,3500,1022,37,840.0,923.5967246734914,2.311333082616329,3466.707499930635,598.5176125244618
1764117442,100,,Aggregated,46.200000,2.500000,880,1200,1400,1500,1900,2200,2800,3200,3500,4900,4900,1078,42,880.0,968.4632230501022,2.311333082616329,4911.81079193484,603.3126159554731
1764117443,100,,Aggregated,46.100000,2.600000,920,1200,1400,1500,1900,2300,2800,3200,3800,4900,4900,1123,45,920.0,994.741585993752,2.311333082616329,4911.81079193484,596.4603739982191
1764117444,100,,Aggregated,39.700000,2.200000,940,1300,1500,1600,1900,2300,2800,3200,4600,4900,4900,1153,46,940.0,1013.8943243625591,2.311333082616329,4911.81079193484,594.1431049436253
1764117445,100,,Aggregated,41.800000,2.600000,970,1300,1500,1600,1900,2300,2800,3200,4600,4900,4900,1191,46,970.0,1026.7012796216543,2.311333082616329,4911.81079193484,612.1108312342569
1764117446,100,,Aggregated,42.900000,2.700000,990,1300,1500,1600,1900,2300,2800,3200,4600,4900,4900,1228,47,990.0,1048.0502895191419,2.311333082616329,4911.81079193484,622.0211726384365
1764117447,100,,Aggregated,41.900000,2.700000,990,1300,1500,1600,1900,2400,2900,3200,4600,4900,4900,1267,48,990.0,1056.7338932124565,2.311333082616329,4911.81079193484,638.0007892659827
1764117448,100,,Aggregated,41.900000,2.600000,990,1300,1500,1600,2000,2400,3000,3300,4600,4900,4900,1339,56,990.0,1065.7578112348522,2.311333082616329,4911.81079193484,648.8446601941747
1764117449,100,,Aggregated,38.200000,1.800000,990,1300,1500,1600,2000,2400,3000,3500,4800,4900,4900,1377,63,990.0,1067.0653056111032,2.311333082616329,4911.81079193484,656.7523602033406
1764117451,100,,Aggregated,39.200000,2.000000,1000,1300,1500,1600,2000,2400,3000,3500,4800,4900,4900,1434,64,1000.0,1072.24417221083,2.311333082616329,4911.81079193484,652.115760111576
1764117452,100,,Aggregated,40.800000,3.000000,1000,1300,1500,1600,2000,2400,3000,3600,4800,4900,4900,1474,68,1000.0,1077.1869984411178,2.311333082616329,4911.81079193484,640.2360922659431
1764117453,100,,Aggregated,42.900000,2.800000,1000,1300,1500,1600,1900,2400,3000,3500,4800,4900,4900,1515,69,1000.0,1083.947933795662,2.311333082616329,4911.81079193484,646.8481848184819
1764117454,100,,Aggregated,44.700000,3.100000,1000,1300,1500,1600,1900,2400,3000,3500,4800,4900,4900,1551,72,1000.0,1090.4985694942766,2.311333082616329,4911.81079193484,659.8871695680207
1764117455,100,,Aggregated,44.700000,3.100000,1100,1300,1500,1600,1900,2400,3000,3500,4800,4900,4900,1594,75,1100.0,1106.3309861679381,2.311333082616329,4911.81079193484,653.4880803011292
1764117456,100,,Aggregated,43.500000,2.700000,1100,1300,1500,1600,1900,2400,3000,3500,4800,4900,4900,1622,78,1100.0,1113.581657132769,2.311333082616329,4911.81079193484,656.634401972873
1764117457,100,,Aggregated,43.800000,2.900000,1100,1400,1500,1600,2000,2400,3100,3600,4800,4900,4900,1690,82,1100.0,1129.656853152924,2.311333082616329,4911.81079193484,644.321301775148
1764117458,100,,Aggregated,43.800000,2.900000,1100,1300,1500,1600,2000,2400,3200,3600,4900,5000,5000,1726,88,1100.0,1129.0937703932977,2.311333082616329,4953.289541997947,640.6378910776361
1764117459,100,,Aggregated,45.700000,3.400000,1100,1300,1500,1600,1900,2400,3100,3600,4900,5000,5000,1785,88,1100.0,1128.3276792189122,2.311333082616329,4953.289541997947,637.3316526610645
1764117460,100,,Aggregated,45.700000,3.400000,1100,1300,1500,1600,1900,2400,3100,3600,4900,5000,5000,1818,89,1100.0,1128.4758263821222,2.311333082616329,4953.289541997947,639.2464246424643
1764117461,100,,Aggregated,44.400000,3.200000,1100,1300,1500,1600,1900,2400,3100,3600,4900,5000,5000,1861,93,1100.0,1138.3952588812672,2.311333082616329,4953.289541997947,634.4981192907039
1764117462,100,,Aggregated,44.100000,2.600000,1100,1300,1500,1600,1900,2400,3100,3600,4900,5000,5000,1898,93,1100.0,1142.6798826776267,2.311333082616329,4953.289541997947,645.3930453108535
